ID,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
65424671,01-05-2016,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,122003,2880,5400,2,58,2380000
65424672,01-05-2016,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,122004,2470,4000,2,51,1400000
65424673,01-05-2016,,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,122004,2940,6600,1,53,1200000
65424674,01-05-2016,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,0,122005,3350,42847,3,76,838000
65424675,01-05-2016,3,2,2710,4500,1.5,0,0,4,8,1880,830,1929,0,122006,2060,4500,1,51,805000
65424676,01-05-2016,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,0,122007,2380,4750,1,67,790000
65424677,01-05-2016,5,3.25,3660,11995,2,0,2,3,10,3660,0,2006,0,122008,3320,11241,3,72,785000
65424678,01-05-2016,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,122006,1570,10578,3,71,750000
65424679,01-05-2016,3,2.5,2390,6550,1,0,2,4,8,1440,950,1955,0,122009,2010,6550,1,73,750000
65424680,01-05-2016,4,2.25,,11250,1.5,0,0,5,7,1300,900,1920,0,122010,2320,10814,2,53,698000
65424681,01-05-2016,5,2.5,2820,67518,2,0,0,3,8,2820,0,1979,0,122011,2820,48351,2,51,675000
65424682,01-05-2016,4,2,1820,5000,1.5,0,1,3,7,1640,180,1945,0,122006,2060,5000,2,69,650000
65424683,01-05-2016,4,2,1520,6200,1.5,0,0,3,7,1520,0,1945,0,122006,1910,6200,3,80,640000
65424684,01-05-2016,,2.75,2710,37277,2,0,0,3,9,2710,0,2000,0,122012,2390,39299,1,74,630000
65424685,01-05-2016,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,122013,2410,3050,3,51,626000
65424686,01-05-2016,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,122014,1300,8408,3,55,625000
65424687,01-05-2016,,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,0,122015,2730,111274,1,70,625000
