,price,speed,hd,ram,screen,cd,multi,premium,ads
1,1499,25,80,4,14,no,no,yes,94
2,1795,33,85,2,14,no,no,yes,94
3,1595,25,170,4,15,no,no,yes,94
4,1849,25,170,8,14,no,no,no,94
5,3295,33,340,16,14,no,no,yes,94
6,3695,66,340,16,14,no,no,yes,94
7,1720,25,170,4,14,yes,no,yes,94
8,1995,50,85,2,14,no,no,yes,94
9,2225,50,210,8,14,no,no,yes,94
10,2575,50,210,4,15,no,no,yes,94
11,2195,33,170,8,15,no,no,yes,94
12,2605,66,210,8,14,no,no,yes,94
13,2045,50,130,4,14,no,no,yes,94
14,2295,25,245,8,14,no,no,yes,94
15,2699,50,212,8,14,no,no,yes,94
16,2225,50,130,4,14,no,no,yes,94
17,1595,33,85,2,14,no,no,yes,94
18,2325,33,210,4,15,no,no,yes,94
19,2095,33,250,4,15,no,no,yes,94
20,4395,66,452,8,14,no,no,yes,94
21,1695,33,130,4,14,no,no,yes,94
22,2795,66,130,4,14,no,no,yes,94
23,2895,25,340,16,14,no,no,yes,94
24,2875,50,210,4,17,no,no,yes,94
25,4195,50,452,8,14,no,no,yes,94
26,1290,33,80,2,14,no,no,yes,94
27,1975,33,130,4,14,no,no,yes,94
28,3995,33,452,8,14,no,no,yes,94
29,3095,33,340,16,14,no,no,yes,94
30,3244,66,245,8,14,no,no,yes,94
31,1920,33,170,4,14,yes,no,yes,94
32,1995,25,130,4,14,no,no,yes,94
33,2595,33,210,8,17,no,no,yes,94
34,2475,50,210,4,15,no,no,yes,94
35,1999,33,170,4,14,no,no,yes,94
36,2675,66,210,4,15,no,no,yes,94
37,2325,66,210,8,14,no,no,yes,94
38,3795,66,500,8,14,no,no,yes,94
39,2405,50,210,8,14,no,no,yes,94
40,2425,50,210,8,14,no,no,yes,94
41,2895,50,245,8,14,no,no,yes,94
42,3895,66,500,8,15,no,no,yes,94
43,2499,33,212,8,14,no,no,yes,94
44,2255,33,210,8,14,no,no,yes,94
45,3495,50,340,16,14,no,no,yes,94
46,2695,33,245,8,14,no,no,yes,94
47,2195,33,130,4,14,no,no,yes,94
48,1749,25,120,4,14,no,no,yes,94
49,2399,50,212,4,14,no,no,yes,94
50,1995,33,250,4,14,no,no,yes,94
51,2499,33,170,4,14,no,no,yes,94
52,2395,33,130,4,14,no,no,yes,94
53,2995,66,340,8,15,no,no,yes,94
54,2190,33,210,4,14,no,no,yes,94
55,2199,33,212,8,14,no,no,no,94
56,2125,50,130,4,14,no,no,yes,94
57,2045,66,130,4,14,no,no,yes,94
58,3075,66,210,4,17,no,no,yes,94
59,2945,66,210,8,17,no,no,yes,94
60,1945,50,130,4,14,no,no,yes,94
61,3990,66,330,8,15,no,no,yes,94
62,1795,33,170,4,15,no,no,yes,94
