sex,age,edu,unempdur,income,marital,sport,smoke,alcabuse,workab,englang,bmi
FEMALE,81,SECONDARY,0,1500,WIDOWED,YES,NO,NO,NO,NONE,31.21748179
FEMALE,41,VOCATIONAL/GRAMMAR,0,600,MARRIED,YES,NO,NO,NO,NONE,22.03856749
FEMALE,24,VOCATIONAL/GRAMMAR,12,100,MARRIED,YES,NO,NO,NO,NONE,17.30103806
MALE,24,SECONDARY,0,1800,SINGLE,NO,NO,NO,NO,PASSIVE,29.45465984
MALE,35,POST-SECONDARY OR HIGHER,0,1200,MARRIED,NO,NO,NO,YES,ACTIVE,26.84635829
FEMALE,79,SECONDARY,0,1520,WIDOWED,YES,NO,NO,NO,NONE,27.47138398
MALE,21,SECONDARY,0,,SINGLE,NO,YES,NO,,ACTIVE,22.22222222
FEMALE,19,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,YES,NO,ACTIVE,18.06972789
FEMALE,82,PRIMARY/NO EDUCATION,0,1300,WIDOWED,YES,NO,NO,NO,NONE,24.8357635
FEMALE,56,PRIMARY/NO EDUCATION,24,444,SINGLE,YES,NO,NO,NO,NONE,28.04037814
FEMALE,29,VOCATIONAL/GRAMMAR,24,,MARRIED,YES,YES,NO,NO,NONE,19.22768787
FEMALE,60,PRIMARY/NO EDUCATION,,700,SINGLE,YES,NO,NO,NO,NONE,27.75748722
MALE,60,VOCATIONAL/GRAMMAR,0,1100,MARRIED,YES,NO,NO,NO,NONE,36.43664485
MALE,57,VOCATIONAL/GRAMMAR,0,8000,MARRIED,YES,YES,NO,NO,NONE,26.19618735
MALE,19,VOCATIONAL/GRAMMAR,,700,SINGLE,YES,NO,NO,,NONE,20.06920415
MALE,37,POST-SECONDARY OR HIGHER,0,3200,MARRIED,YES,YES,NO,NO,ACTIVE,31.69907016
FEMALE,18,VOCATIONAL/GRAMMAR,0,,SINGLE,NO,YES,NO,NO,NONE,18.77834467
FEMALE,51,POST-SECONDARY OR HIGHER,0,2500,MARRIED,YES,NO,NO,NO,ACTIVE,26.2335558
MALE,19,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,NO,PASSIVE,18.93491124
FEMALE,34,VOCATIONAL/GRAMMAR,6,1300,MARRIED,YES,YES,NO,NO,NONE,23.7953599
FEMALE,22,SECONDARY,,,SINGLE,NO,YES,NO,,ACTIVE,20.9839876
MALE,51,VOCATIONAL/GRAMMAR,14,2000,MARRIED,YES,YES,YES,NO,NONE,27.05515088
FEMALE,67,SECONDARY,0,,DIVORCED,YES,NO,NO,NO,NONE,29.41176471
MALE,16,PRIMARY/NO EDUCATION,0,,SINGLE,NO,NO,NO,,NONE,19.81767737
FEMALE,70,PRIMARY/NO EDUCATION,,950,WIDOWED,YES,NO,NO,NO,NONE,26.6727633
FEMALE,55,VOCATIONAL/GRAMMAR,0,,DIVORCED,NO,YES,NO,NO,NONE,25.29937595
MALE,40,VOCATIONAL/GRAMMAR,0,1500,MARRIED,YES,YES,YES,NO,NONE,28.40533756
MALE,54,VOCATIONAL/GRAMMAR,0,400,MARRIED,YES,NO,NO,NO,NONE,29.6875
FEMALE,55,VOCATIONAL/GRAMMAR,0,1000,MARRIED,YES,NO,NO,NO,NONE,29.296875
FEMALE,58,SECONDARY,,2400,WIDOWED,YES,NO,NO,NO,NONE,22.30814991
FEMALE,28,VOCATIONAL/GRAMMAR,18,,MARRIED,YES,YES,NO,,PASSIVE,23.33546614
FEMALE,58,PRIMARY/NO EDUCATION,,620,WIDOWED,YES,NO,NO,NO,NONE,32.03857841
MALE,64,SECONDARY,0,1800,MARRIED,YES,NO,NO,NO,NONE,34.92767916
FEMALE,26,POST-SECONDARY OR HIGHER,0,,SINGLE,NO,NO,NO,,ACTIVE,18.36547291
FEMALE,43,POST-SECONDARY OR HIGHER,0,800,MARRIED,YES,NO,NO,NO,PASSIVE,22.64737696
MALE,79,SECONDARY,24,1200,MARRIED,YES,NO,NO,NO,NONE,28.65013774
MALE,37,SECONDARY,0,1350,MARRIED,NO,YES,NO,NO,ACTIVE,25.88057064
FEMALE,55,PRIMARY/NO EDUCATION,,,MARRIED,YES,NO,NO,NO,NONE,22.27530992
FEMALE,62,VOCATIONAL/GRAMMAR,0,1800,MARRIED,NO,NO,NO,NO,NONE,33.21799308
FEMALE,24,SECONDARY,,,SINGLE,NO,NO,NO,,ACTIVE,20.2020202
MALE,19,VOCATIONAL/GRAMMAR,,,SINGLE,NO,NO,NO,,PASSIVE,19.23018223
FEMALE,79,POST-SECONDARY OR HIGHER,0,250,WIDOWED,YES,NO,NO,NO,NONE,26.6727633
MALE,31,SECONDARY,0,6000,SINGLE,NO,NO,NO,NO,PASSIVE,27.44059917
MALE,49,POST-SECONDARY OR HIGHER,0,1800,MARRIED,NO,NO,NO,NO,PASSIVE,27.75748722
MALE,56,PRIMARY/NO EDUCATION,0,920,MARRIED,YES,NO,YES,NO,NONE,23.4375
FEMALE,43,POST-SECONDARY OR HIGHER,0,800,WIDOWED,YES,NO,NO,NO,NONE,22.64737696
MALE,79,PRIMARY/NO EDUCATION,,1100,MARRIED,YES,NO,NO,NO,NONE,25.390625
FEMALE,35,POST-SECONDARY OR HIGHER,0,2200,MARRIED,NO,NO,NO,NO,ACTIVE,16.32653061
MALE,60,VOCATIONAL/GRAMMAR,0,,MARRIED,YES,NO,NO,NO,NONE,29.41176471
MALE,41,SECONDARY,0,1200,MARRIED,YES,YES,YES,NO,NONE,28.34185537
FEMALE,57,POST-SECONDARY OR HIGHER,0,1370,MARRIED,NO,NO,NO,NO,PASSIVE,24.74093729
FEMALE,36,SECONDARY,0,1450,MARRIED,NO,NO,NO,,NONE,29.296875
MALE,60,VOCATIONAL/GRAMMAR,13,840,MARRIED,YES,NO,NO,NO,NONE,24.48979592
FEMALE,72,SECONDARY,,850,MARRIED,YES,YES,NO,NO,NONE,26.21882086
FEMALE,65,SECONDARY,24,2000,MARRIED,YES,NO,NO,NO,NONE,22.85714286
FEMALE,35,SECONDARY,12,500,DIVORCED,YES,NO,NO,NO,NONE,19.95935549
MALE,70,VOCATIONAL/GRAMMAR,24,1200,MARRIED,YES,NO,NO,NO,NONE,29.72651605
FEMALE,41,VOCATIONAL/GRAMMAR,0,1200,MARRIED,YES,YES,NO,NO,NONE,24.44727891
FEMALE,49,VOCATIONAL/GRAMMAR,0,2400,MARRIED,YES,NO,NO,NO,NONE,27.63605442
MALE,31,SECONDARY,,2600,MARRIED,NO,NO,NO,NO,NONE,23.98687034
FEMALE,19,PRIMARY/NO EDUCATION,,,SINGLE,NO,NO,NO,,NONE,26.56434475
MALE,34,VOCATIONAL/GRAMMAR,6,,SINGLE,YES,YES,NO,NO,NONE,23.45679012
FEMALE,70,PRIMARY/NO EDUCATION,,680,WIDOWED,YES,NO,NO,NO,NONE,32.03125
FEMALE,58,VOCATIONAL/GRAMMAR,,,MARRIED,YES,NO,NO,NO,PASSIVE,27.55555556
MALE,16,PRIMARY/NO EDUCATION,0,,MARRIED,NO,NO,NO,,PASSIVE,19.28414901
MALE,55,POST-SECONDARY OR HIGHER,0,3000,MARRIED,NO,YES,NO,NO,ACTIVE,23.22543185
FEMALE,56,VOCATIONAL/GRAMMAR,6,1300,MARRIED,YES,NO,NO,NO,NONE,21.78649237
FEMALE,60,SECONDARY,24,,DE FACTO SEPARATED,YES,NO,NO,NO,NONE,26.03749399
MALE,20,SECONDARY,,,SINGLE,NO,NO,NO,,ACTIVE,20.0617284
FEMALE,58,VOCATIONAL/GRAMMAR,0,1110,WIDOWED,YES,YES,YES,NO,NONE,26.12244898
