male,age,state,time.served,max.sentence,multiple.offenses,crime,violator
Yes,33.2,Maharashtra,5.5,18,No,Economic,No
No,39.7,Maharashtra,5.4,12,No,Severe,No
Yes,29.5,Maharashtra,5.6,12,No,Severe,No
Yes,22.4,Maharashtra,5.7,18,No,Minor,No
Yes,21.6,Maharashtra,5.4,12,No,Minor,No
Yes,46.7,Maharashtra,6,18,No,Economic,No
Yes,31,Maharashtra,6,18,No,Severe,No
No,24.6,Maharashtra,4.8,12,No,Minor,No
No,32.6,Maharashtra,4.5,13,No,Severe,No
Yes,29.1,Maharashtra,4.7,12,No,Major,No
No,28.4,Maharashtra,4.5,12,Yes,Minor,No
Yes,20.5,Maharashtra,5.9,12,No,Minor,No
Yes,30.1,Maharashtra,5.3,16,No,Severe,No
Yes,37.8,Maharashtra,5.3,8,No,Severe,No
Yes,41.7,Maharashtra,5.5,8,No,Severe,No
Yes,43.5,Maharashtra,5.2,8,No,Minor,No
Yes,42.3,Maharashtra,4.8,16,No,Severe,No
Yes,21.3,Maharashtra,5.1,8,No,Minor,No
Yes,24.5,Maharashtra,6,16,No,Severe,No
Yes,42.3,Maharashtra,5.8,16,No,Minor,No
Yes,31.6,Maharashtra,4.9,8,No,Minor,No
Yes,35.4,Maharashtra,5.3,8,No,Severe,No
Yes,41.9,Maharashtra,5.1,16,No,Severe,No
Yes,38.9,Maharashtra,5.2,16,No,Severe,No
Yes,23,Maharashtra,5.3,8,No,Minor,No
Yes,29.5,Maharashtra,3.9,16,No,Minor,Yes
Yes,32.8,Maharashtra,5.9,16,No,Severe,No
Yes,32.4,Maharashtra,5.1,8,No,Minor,No
Yes,29.7,Maharashtra,5.8,8,No,Major,No
Yes,28.7,Maharashtra,6,8,No,Minor,No
Yes,50.2,Maharashtra,6,8,No,Minor,No
Yes,25.9,Maharashtra,0.5,16,No,Minor,No
Yes,49.9,Maharashtra,4.7,16,No,Minor,No
Yes,47.1,Maharashtra,5.4,13,No,Minor,No
Yes,36.7,Maharashtra,0.9,16,No,Severe,No
