COMMENT_ID,CONTENT,CLASS
1,+447935454150 lovely girl talk to me xxx﻿,spam
2,I always end up coming back to this song<br />﻿,ham
3,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿",spam
4,Cool﻿,ham
5,Hello I&#39;am from Palastine﻿,spam
6,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿,ham
7,Go check out my rapping video called Four Wheels please ❤️﻿,spam
8,Almost 1 billion﻿,ham
9,Aslamu Lykum... From Pakistan﻿,spam
10,Eminem is idol for very people in España and Mexico or Latinoamerica﻿,ham
11,Help me get 50 subs please ﻿,spam
12,i love song :)﻿,ham
13,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",spam
14,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,ham
15,The boyfriend was Charlie from the TV show LOST ﻿,ham
16,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿",spam
17,Take a look at this video on YouTube:﻿,spam
18,Check out our Channel for nice Beats!!﻿,spam
19,Rihanna and Eminem together are unstoppable.﻿,ham
20,Check out this playlist on YouTube:﻿,spam
21,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿,ham
22,like please﻿,spam
23,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿",ham
24,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,ham
25,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",spam
26,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿,spam
27,Check out this playlist on YouTube:﻿,spam
28,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿,spam
29,"You exactly who u want to be,watching your favourite rappers on tv﻿",ham
30,Rihanna is absolutely gorgeous in this video.﻿,ham
31,Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿,spam
32,"Don&#39;t love someone soo much, love the way u lie..﻿",ham
33,one of the BEST SONGS in music history﻿,ham
34,Check out this playlist on YouTube:﻿,spam
35,Check out this video on YouTube:﻿,spam
36,Check out this video on YouTube:﻿,spam
37,No-I hate The Way U LIe!!﻿,ham
38,Fuck Eminem. Bieber is the best &lt;3﻿,ham
39,Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿,spam
40,Check out this playlist on YouTube: ﻿,spam
41,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind. That he learned and rapped about and forgot before eminem spit his first ryme.luv ya linz 4e﻿,spam
42,Check out this video on YouTube:﻿,spam
43,Check out this video on YouTube<br /><br /><br />﻿,spam
44,CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!﻿,spam
45,Check out this playlist on YouTube:﻿,spam
46,I personally have never been in a abusive relationship. I probably never will. I don&#39;t hit women. Mom has my dad used to hit my mom before he left. I can relate I&#39;m writing about one at the moment subscribe to hear it. EVERY fan counts.﻿,spam
47,Love😘❤💖﻿,ham
48,"Haha, I can&#39;t believe how many kids listen to Eminem.  You kids know that he does drugs and ends high in jail. I wonder why he never ended OD. ﻿",ham
49,plese subscribe to me﻿,spam
50,Check out this video on YouTube:﻿,spam
51,"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.﻿",spam
52,this is the 2nd most best song when im gone by m&amp;m﻿,ham
53,Check out this video on YouTube:﻿,spam
54,"WE GO FOR 1,000,000,000 FOR EMINEM﻿",ham
55,Eminem and Rihanna sing the song very well.﻿,ham
56,Subscribe me Secret videos :D﻿,spam
57,Check out this video on YouTube:﻿,spam
58,Check out this video on YouTube:but I&#39;m not Rhinnah﻿,spam
59,Subscribe to me for clean Eminem!,spam
60," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it ",spam
61,LOVE THE WAY YOU LIE ..&quot;﻿,ham
62,Check out this video on YouTube:﻿,spam
63,This guy win dollars sleeping... m m m he loves the planet its full of RETARDS,spam
64,Check out our cover of this song!,spam
65,Check out this video on YouTube:﻿,spam
66,goot﻿,ham
67,2015 but Im still listening to this!﻿,ham
68,"How is this the most watched Eminem video, it beats not afraid? ﻿",ham
69,Check out my channel for funny skits! Thanks!,spam
70,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,spam
71,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,spam
72,Check out this video on YouTube:﻿,spam
73,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",spam
74,CHECK OUT Eminem - Rap God LYRIC VIDEO,spam
75,Love this song﻿,ham
76,"Rihana, Love Me. :(﻿",ham
77,like this comment then type 1337,spam
78,Is that Charlie from lost?<br />﻿,ham
79,who the fuck cheats on megan fox﻿,ham
80,that is megan fox﻿,ham
81,I love music﻿,ham
82,like this comment then type 1337,spam
83,❤❤❤❤❤❤❤﻿,ham
84,"hot,hot﻿",ham
85,Check out this video on YouTube:﻿,spam
86,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",spam
87,this fucking song like a&#39;n oreo the only white part is the good 1﻿,ham
88,"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",ham
89,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",spam
90,Check Out The New Hot Video By Dante B Called Riled Up,spam
91,Check Out The New Hot Video By Dante B Called Riled Up,spam
92,"Still listening,still same pleasure﻿",ham
