,text,senti
1," MDLeading Trident

 Barapoints
 R Madrid 
 Granada 
 At Madrid 

 Bara took command of the Le",Neutral
2,Mourinho talking about how the only way to play the historic Bara of Pep Guardiola was to Park The Bus with Inter Mil,Positive
3,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
4,"Messi for Barca

 games
 goals
 assists",Neutral
5,"Welcome To Twitter where Man Utd Have Most Fans 
Chelsea Fans are noisemakers here 
Barca Fans always Blame their Coach",Positive
6,Rival watch Real Madrid suffer aloss at the hands of RCD Mallorca leaving Bara at the top of the table at the end,Negative
7,Madrid gonna drop points Top of the table Bara La Liga is done in Octoberagain too easy man,Positive
8,I support Barca thats why I said it lol,Positive
9," Messi 
 Csar
 Kubala
Samiter
",Neutral
10,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
11,"Newly promoted Osasuna held the champions Barca to adraw

Newly promoted Mallorca beat the only undefeated team in t",Positive
12,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
13,Barca top of the league which means Griezmann is closer to winning his first La liga title,Positive
14,"Bayern Munich UCL RO st leg

Van Dijksuspended
Lovreninjured
Gomezinjured

Played Fabinho and Matip at the b",Neutral
15,Barca fans worldwide now,Positive
16,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
17,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
18,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
19,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
20,"Newly promoted Osasuna held the champions Barca to adraw

Newly promoted Mallorca beat the only undefeated team in t",Positive
21,"Messi for Barca

 games
 goals
 assists",Neutral
22,Im stating why him being considered the greatest Barca player by some is a valid opinion,Positive
23,Mourinho talking about how the only way to play the historic Bara of Pep Guardiola was to Park The Bus with Inter Mil,Positive
24,"INJURY NEWS has strained medial collateral ligament in his left knee
",Negative
25,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
26,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
27,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
28,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
29,Everything was perfect in our match and were Back to where we belong,Positive
30,"Who is Messi

Barcelona Legend 

Who is Cristiano

Sporting Legend 
Man United Legend 
Real Madrid Legend 
Juventu",Positive
31,beIN Messiinon nowEibar vs Barca replay now,Neutral
32,"Few weeks ago

Barca was occupying the th position in the league

As I tweet this we are occupying the st position",Positive
33,Sorry to hear,Negative
34,"Dad Who scored for Bara
Me Messi
Dad Enjoy it while its last Hell soon retire
Me Alaye jor jor jor carry your b",Negative
35,"Dad Who scored for Bara
Me Messi
Dad Enjoy it while its last Hell soon retire
Me Alaye jor jor jor carry your b",Negative
36,Agreed,Positive
37,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
38,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
39,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
40,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
41,Barca fans worldwide now,Positive
42,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
43,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
44,Frenkie de Jong has shown signs of high intelligence that only IniestaXavi have previously shown in Baras midfield,Positive
45,Leicester win Barca win Madrid Loss,Negative
46,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
47,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
48,"Dad Who scored for Bara
Me Messi
Dad Enjoy it while its last Hell soon retire
Me Alaye jor jor jor carry your b",Negative
49,Barca for life ,Neutral
50," S A T U R D A Y


Today we implemented the ideas we have been working through during the week Our teams are d",Positive
51,you a barca fan,Neutral
52,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
53,Rival watch Real Madrid suffer aloss at the hands of RCD Mallorca leaving Bara at the top of the table at the end,Negative
54,Same But feeling better since it was an amazing match day,Positive
55,Bara take over the leading position in La Liga with a convincing victory guided by their stellar trio of forwards md,Positive
56,Look who I bumped into in Barcatonight thepastthepresentthefuture UEGW,Neutral
57,The MSG trident was complete and placed Bara at the top of the table in Griezmanns best game as a Blaugrana sport,Positive
58,Some retarded education if you think Madridplayed better football than prime Barca,Positive
59,But when greedy West is in troublethen they call East to save their PSG and Manchester City and Barca with petrodollars,Negative
60,Sound as mateBelieveDreams come true Barca at Anfield mate,Positive
61,Mourinho talking about how the only way to play the historic Bara of Pep Guardiola was to Park The Bus with Inter Mil,Positive
62," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
63,"Newly promoted Osasuna held the champions Barca to adraw

Newly promoted Mallorca beat the only undefeated team in t",Positive
64," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
65," Messi 
 Csar
 Kubala
Samiter
",Neutral
66," MDLeading Trident

 Barapoints
 R Madrid 
 Granada 
 At Madrid 

 Bara took command of the Le",Neutral
67,"Newly promoted Osasuna held the champions Barca to adraw

Newly promoted Mallorca beat the only undefeated team in t",Positive
68,Barca fans worldwide now,Positive
69,Ajax to FC Barcelona seems like an academy to first team progression for Frenkie De Jong Intricate short passing quick mov,Positive
70,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
71,"Oneclub goalscorers Both are all time top goal scorers for their clubs

Pelegoals for Santos

Messigoals for",Neutral
72," SPORTLeaders

 MSG thrashed in full and placed Bara at the top of the table in Griezmanns best game as Blaugrana",Positive
73,Its good that the El clasico was postponed Barca would have given them,Positive
74,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
75,The MSG trident was complete and placed Bara at the top of the table in Griezmanns best game as a Blaugrana sport,Positive
76,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
77,Sleep nwa barca,Neutral
78,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
79,Gimme a break sinceBayern with LahmAlaba Madrid with MarceloCarvajalBarca with AlvesAlba have operatedbeen su,Negative
80,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
81,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
82,"From mid table to First Real Madrid fans hate to see it

Barca mood",Positive
83," MDLeading Trident

 Barapoints
 R Madrid 
 Granada 
 At Madrid 

 Bara took command of the Le",Neutral
84,OctBC Roman Consul Scipio Africanus defeats Hannibal Barca whose army was defending Carthage at the Batt,Negative
85,"Is this man called Zidane alright 
League way Barca don win he Dey here Dy para for consistency",Positive
86," MDLeading Trident

 Barapoints
 R Madrid 
 Granada 
 At Madrid 

 Bara took command of the Le",Neutral
87,Best team in world And the best player in world leomessi Barca BarcaeibarMessi ,Positive
88,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
89,Best team in world And the best player in world leomessi Barca BarcaeibarMessi ,Positive
90,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
91,makes sense why he has most clsico goals,Neutral
92,Today in history Second Punic War At the Battle of Zama Roman legions under Scipio Africanus defeat Hannibal Barca,Negative
93,Messi was raised by drugs at barca academy Some growth hormones drugs were  injected in his body,Positive
94,Atletico drew Madrid lost and Barca Top of the table,Negative
95,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
96,Messi looks as if he was never injured and Barcas top of the league Reals in the mud vamosss,Negative
97,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
98,Rakitic never starts its only Busi as of now Id say he wouldnt be in the Barc,Neutral
99,"Barca after Pep
st
nd
st
st
nd
st
st

Bayern a",Neutral
100,Mourinho talking about how the only way to play the historic Bara of Pep Guardiola was to Park The Bus with Inter Mil,Positive
101,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
102,I knowHes just not playing at a MadridBarca level,Positive
103,Barcas back in first place like it should be,Positive
104,Are you aware the barca team he inherited earned justpoints and had gone two seasons without a trophy,Positive
105,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
106,Better football than prime Barca ya know  Having a mourinho avi doesnt make you any smarter hth,Positive
107," Mallorca defeat Madrid for the first time in the last DECADEgo out of the relegation zone 

 Bara lead the table",Negative
108,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
109,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
110,"Barca won
Real Madrid lost
Atletico Madrid Draw 

And Barca is on top of the table ",Neutral
111,"Bara gave Real Madrid a head start in the league but the foolish club cannot take advantage Scum capital club

Knowing B",Positive
112,"Have a nice weekend Bara fans
Enjoy the moments 

trackoftheweek Attack by 

Su",Positive
113,"MARCA Frenkie delivers one fantastic performance after the other
AS A pleasure for the eye The big man a",Positive
114,Barca needed a robbery against Chelsea to win treble,Negative
115,Nor dey tag me for all these your Barca things I go block you o No jokes,Positive
