,spending,advance_payments,probability_of_full_payment,current_balance,credit_limit,min_payment_amt,max_spent_in_single_shopping,sil_width,Clus_kmeans
0,19.94,16.92,0.8752,6.675,3.763,3.252,6.55,0.6037973957899296,1
1,15.99,14.89,0.9064,5.3629999999999995,3.582,3.3360000000000003,5.144,0.008747520934180273,0
2,18.95,16.42,0.8829,6.247999999999999,3.755,3.3680000000000003,6.148,0.6780378517601674,1
3,10.83,12.96,0.8099,5.278,2.641,5.182,5.185,0.49530556014536403,0
4,17.99,15.86,0.8992,5.89,3.694,2.068,5.837000000000001,0.5480721424563673,1
5,12.7,13.41,0.8874,5.183,3.091,8.456,5.0,0.33977488051460586,0
6,12.02,13.33,0.8503,5.35,2.81,4.271,5.308,0.58326924662226,0
7,13.74,14.05,0.8744,5.482,3.114,2.932,4.825,0.5032562627183428,0
8,18.17,16.26,0.8637,6.271,3.512,2.853,6.273,0.5881904551379412,1
9,11.23,12.88,0.8511,5.14,2.795,4.325,5.003,0.6158906137995805,0
10,18.55,16.22,0.8865,6.153,3.674,1.7380000000000002,5.894,0.5956938804638869,1
11,14.09,14.41,0.8529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,0.3447228182951802,0
12,12.15,13.45,0.8443,5.417000000000001,2.8369999999999997,3.638,5.337999999999999,0.5586033659691527,0
13,18.98,16.57,0.8687,6.449,3.552,2.144,6.452999999999999,0.583872737909975,1
14,12.1,13.15,0.8793,5.105,2.9410000000000003,2.201,5.056,0.5371639414684263,0
15,12.79,13.53,0.8786,5.224,3.054,5.483,4.958,0.5274459064987622,0
16,16.14,14.99,0.9034,5.6579999999999995,3.562,1.355,5.175,0.10957153262381349,1
17,10.8,12.57,0.8590000000000001,4.981,2.821,4.773,5.063,0.5924295268139287,0
18,13.22,13.84,0.868,5.395,3.07,4.157,5.088,0.5538126898177573,0
19,12.7,13.71,0.8491,5.386,2.911,3.26,5.316,0.548728847098226,0
20,12.37,13.47,0.8567,5.204,2.96,3.9189999999999996,5.001,0.616053101413269,0
21,13.07,13.92,0.848,5.472,2.9939999999999998,5.303999999999999,5.395,0.47727964914181104,0
22,17.98,15.85,0.8993,5.979,3.687,2.2569999999999997,5.919,0.5838303172585116,1
23,12.62,13.67,0.8481,5.41,2.911,3.306,5.231,0.5620006252590349,0
24,15.11,14.54,0.8986,5.579,3.4619999999999997,3.128,5.18,0.1010146655586865,0
25,15.56,14.89,0.8823,5.776,3.408,4.9719999999999995,5.847,0.24988767174343957,1
26,12.78,13.57,0.8716,5.2620000000000005,3.0260000000000002,1.176,4.782,0.4816877853757373,0
27,11.02,13.0,0.8189,5.325,2.701,6.735,5.162999999999999,0.4695990893653356,0
28,11.35,13.12,0.8291,5.176,2.668,4.337,5.132000000000001,0.5691677858727041,0
29,11.23,12.82,0.8594,5.0889999999999995,2.821,7.524,4.957,0.4768602652093121,0
30,13.78,14.06,0.8759,5.479,3.156,3.136,4.872,0.49562696796155903,0
31,11.84,13.21,0.8521,5.175,2.8360000000000003,3.5980000000000003,5.044,0.6158663729473463,0
32,12.55,13.57,0.8558,5.332999999999999,2.968,4.419,5.176,0.5900075508559047,0
33,15.88,14.9,0.8988,5.617999999999999,3.5069999999999997,0.7651,5.091,0.014600847606227296,1
34,11.82,13.4,0.8274,5.314,2.7769999999999997,4.471,5.178,0.5554683377288832,0
35,11.19,13.05,0.8253,5.25,2.675,5.813,5.218999999999999,0.5217299991262347,0
36,11.14,12.79,0.8558,5.011,2.7939999999999996,6.388,5.0489999999999995,0.5396382991598476,0
37,12.22,13.32,0.8652,5.224,2.967,5.468999999999999,5.221,0.5569809176452067,0
38,11.81,13.45,0.8198,5.412999999999999,2.716,4.898,5.352,0.49870521917870575,0
39,19.51,16.71,0.878,6.3660000000000005,3.801,2.9619999999999997,6.185,0.6612223968982763,1
40,18.72,16.34,0.8809999999999999,6.218999999999999,3.6839999999999997,2.188,6.097,0.6392938670845723,1
41,13.84,13.94,0.8955,5.324,3.3789999999999996,2.259,4.805,0.3756526133051121,0
42,16.87,15.65,0.8648,6.138999999999999,3.463,3.696,5.9670000000000005,0.5169382716128055,1
43,20.03,16.9,0.8811,6.492999999999999,3.8569999999999998,3.063,6.32,0.6436122990633861,1
44,10.79,12.93,0.8107,5.317,2.648,5.462000000000001,5.194,0.49000342731650715,0
45,11.18,12.72,0.868,5.0089999999999995,2.81,4.051,4.828,0.5993543480180412,0
46,13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,0.42278448397097873,0
47,19.06,16.45,0.8854,6.416,3.719,2.248,6.162999999999999,0.6438619086137951,1
48,18.96,16.2,0.9077,6.051,3.897,4.334,5.75,0.5761576879010698,1
49,18.83,16.29,0.8917,6.037000000000001,3.786,2.553,5.879,0.6339134138936147,1
50,12.73,13.75,0.8458,5.412000000000001,2.8819999999999997,3.533,5.067,0.5759634915277246,0
51,18.72,16.19,0.8977,6.006,3.8569999999999998,5.324,5.879,0.5591304506252004,1
52,19.46,16.5,0.8985,6.1129999999999995,3.892,4.308,6.0089999999999995,0.6343461003980573,1
53,19.38,16.72,0.8716,6.303,3.7910000000000004,3.678,5.965,0.6429299943069875,1
54,18.81,16.29,0.8906,6.272,3.693,3.237,6.053,0.6736129815078296,1
55,16.23,15.18,0.885,5.872000000000001,3.472,3.7689999999999997,5.922000000000001,0.442229082498305,1
