Date,Bharti Airtel,DLF,ACC,BHEL,TCS,Maruti Suzuki,Reliance,Dr. Reddy,ITC,TATA Steel
04-04-2016,299,114,1320,74,1086,3269,507,2907,188,282
11-04-2016,314,117,1345,80,1128,3555,521,2965,194,291
18-04-2016,315,118,1294,77,1079,3636,508,3005,191,310
25-04-2016,325,125,1321,75,1132,3615,480,2954,190,307
02-05-2016,321,121,1305,76,1104,3639,474,2742,186,288
09-05-2016,317,118,1334,74,1127,3665,478,2790,187,282
16-05-2016,305,118,1275,72,1129,3759,457,2902,193,282
23-05-2016,314,124,1394,77,1149,3951,476,2980,210,289
30-05-2016,320,127,1409,71,1174,4019,469,3023,207,296
06-06-2016,313,129,1424,74,1141,3917,477,2932,211,293
13-06-2016,319,130,1424,74,1186,3920,477,2872,216,285
20-06-2016,318,129,1435,71,1173,3878,465,3016,213,274
27-06-2016,329,146,1480,79,1140,3969,476,3332,228,287
04-07-2016,317,149,1462,83,1106,3965,478,3406,222,279
11-07-2016,338,151,1476,86,1115,4261,495,3432,224,326
18-07-2016,328,153,1539,85,1147,4206,496,3462,225,320
25-07-2016,323,156,1546,88,1194,4533,496,2839,228,311
01-08-2016,325,159,1575,83,1214,4708,497,2910,228,342
08-08-2016,310,157,1522,83,1255,4667,506,2912,229,336
15-08-2016,315,162,1558,85,1193,4669,496,2912,226,351
22-08-2016,308,154,1509,84,1157,4688,502,2941,229,331
29-08-2016,286,145,1538,82,1152,4917,495,3021,237,335
05-09-2016,289,152,1523,93,1078,5184,511,3089,233,354
12-09-2016,290,141,1498,88,1082,5347,526,3047,235,322
19-09-2016,293,150,1490,89,1099,5374,539,3078,229,333
26-09-2016,282,141,1474,82,1114,5255,530,3006,218,335
03-10-2016,286,150,1497,82,1085,5453,542,2954,216,364
10-10-2016,274,145,1511,81,1084,5459,527,2932,216,370
17-10-2016,278,151,1443,86,1113,5421,520,3012,217,383
24-10-2016,286,145,1397,84,1099,5638,516,3253,219,363
31-10-2016,275,134,1373,82,1074,5473,492,2979,225,361
07-11-2016,270,112,1290,83,968,4926,490,3150,219,382
14-11-2016,272,112,1207,81,979,4750,483,3109,206,345
21-11-2016,270,108,1206,77,1060,4676,486,3065,206,366
28-11-2016,286,106,1221,77,1024,4862,486,3076,206,364
05-12-2016,298,111,1271,78,1011,5022,503,3082,213,386
12-12-2016,278,108,1192,74,1052,4978,517,3006,204,371
19-12-2016,265,110,1194,72,1054,4986,517,2900,203,350
26-12-2016,274,107,1226,73,1090,5104,529,2960,218,351
02-01-2017,287,122,1229,77,1051,5388,525,3056,219,376
09-01-2017,287,120,1225,78,1036,5468,533,2882,225,400
16-01-2017,287,124,1222,78,1053,5439,501,2851,230,407
23-01-2017,290,131,1318,85,1086,5676,501,2896,232,421
30-01-2017,317,138,1312,86,1034,5867,505,3041,246,424
06-02-2017,321,143,1370,96,1111,5864,504,2879,247,420
13-02-2017,331,137,1350,93,1116,5747,526,2817,242,420
20-02-2017,328,144,1325,94,1150,5786,578,2793,240,435
27-02-2017,319,139,1284,97,1156,5649,615,2777,236,444
06-03-2017,327,137,1290,97,1178,5714,627,2627,238,419
13-03-2017,311,142,1300,103,1170,5941,636,2647,254,450
20-03-2017,305,143,1297,102,1125,5761,629,2542,253,442
27-03-2017,314,143,1344,99,1127,5771,646,2546,253,433
03-04-2017,309,149,1364,107,1125,6005,688,2574,246,442
10-04-2017,305,154,1388,106,1079,5831,667,2554,252,415
17-04-2017,307,177,1389,107,1071,5935,686,2524,247,404
24-04-2017,319,179,1511,107,1053,6260,682,2514,251,403
01-05-2017,309,179,1542,106,1075,6384,649,2518,250,389
08-05-2017,327,201,1561,104,1094,6457,660,2496,248,391
15-05-2017,334,200,1557,100,1162,6515,645,2569,258,439
22-05-2017,335,187,1517,97,1195,6778,654,2335,279,459
29-05-2017,335,169,1527,86,1188,6826,648,2471,288,441
05-06-2017,330,178,1504,85,1162,7162,653,2543,276,454
12-06-2017,327,187,1522,84,1112,6969,679,2595,281,450
19-06-2017,328,185,1521,82,1106,6926,702,2557,285,455
26-06-2017,340,184,1457,83,1107,6925,675,2602,296,489
03-07-2017,346,195,1495,82,1093,7131,729,2617,306,496
10-07-2017,365,194,1631,86,1123,7250,750,2614,309,500
17-07-2017,370,189,1587,89,1167,7237,780,2672,265,496
24-07-2017,371,184,1608,88,1164,7321,785,2402,267,503
31-07-2017,378,183,1696,84,1185,7455,799,2182,257,525
07-08-2017,373,150,1646,76,1173,7155,761,1960,249,544
14-08-2017,378,177,1678,79,1181,7290,776,1931,258,571
21-08-2017,389,180,1666,78,1173,7304,772,2035,258,583
28-08-2017,380,185,1700,80,1154,7570,793,2161,260,594
04-09-2017,363,185,1675,78,1161,7724,804,2107,249,598
11-09-2017,356,185,1702,81,1177,7849,829,2155,247,619
18-09-2017,355,167,1579,80,1176,7818,805,2395,246,597
25-09-2017,350,160,1549,77,1144,7731,769,2269,237,595
02-10-2017,344,167,1627,78,1149,7658,824,2315,244,631
09-10-2017,387,168,1655,78,1202,7630,863,2294,244,648
16-10-2017,426,171,1651,78,1214,7491,896,2312,247,644
23-10-2017,436,180,1667,88,1214,7863,916,2334,247,663
30-10-2017,486,208,1688,92,1234,7965,931,2357,243,647
06-11-2017,453,203,1640,85,1276,7930,870,2288,240,641
13-11-2017,444,218,1649,81,1275,8089,898,2263,236,640
20-11-2017,447,223,1587,85,1266,8225,937,2236,239,646
27-11-2017,435,220,1568,84,1239,8342,896,2177,234,621
04-12-2017,472,232,1634,85,1226,8762,907,2130,240,637
11-12-2017,466,226,1586,83,1199,8882,906,2311,242,634
18-12-2017,475,239,1610,85,1247,9399,906,2273,241,649
25-12-2017,476,253,1644,85,1273,9428,907,2352,241,668
01-01-2018,485,253,1692,94,1267,9141,909,2410,241,703
08-01-2018,458,262,1688,95,1308,9166,935,2385,245,703
15-01-2018,448,243,1711,90,1394,9035,917,2427,251,687
22-01-2018,407,247,1614,95,1470,8991,951,2444,258,702
29-01-2018,380,218,1571,86,1489,8712,891,2069,252,642
05-02-2018,382,223,1553,87,1403,8659,884,2138,248,656
12-02-2018,380,220,1543,87,1385,8563,907,2157,244,660
19-02-2018,385,219,1544,86,1452,8429,920,2112,246,649
26-02-2018,387,219,1528,84,1434,8598,934,2174,242,646
05-03-2018,364,206,1432,80,1433,8392,899,2075,237,581
12-03-2018,377,220,1466,80,1334,8408,886,2087,239,575
19-03-2018,373,198,1429,76,1331,8340,880,2019,234,542
26-03-2018,361,196,1410,76,1345,8586,869,2027,234,547
02-04-2018,348,200,1452,81,1393,8921,897,2070,239,562
09-04-2018,342,206,1437,82,1489,8841,925,2037,239,569
16-04-2018,364,207,1460,83,1607,8745,914,2068,253,580
23-04-2018,370,218,1458,81,1630,8511,981,2044,256,565
30-04-2018,359,207,1429,78,1644,8409,939,2053,254,556
07-05-2018,350,210,1371,75,1632,8479,974,1940,260,581
14-05-2018,327,193,1285,71,1654,8247,920,1931,259,566
21-05-2018,341,199,1264,70,1693,8283,907,1918,249,544
28-05-2018,347,203,1267,75,1636,8536,916,1892,252,537
04-06-2018,342,202,1256,72,1664,8655,969,2010,250,575
11-06-2018,342,196,1244,70,1752,8674,999,2290,247,542
18-06-2018,339,197,1237,70,1723,8600,997,2277,247,538
25-06-2018,346,185,1280,67,1760,8552,958,2178,248,544
02-07-2018,328,183,1312,65,1822,9029,969,2211,254,530
09-07-2018,325,184,1278,62,1887,9139,1090,2261,252,544
16-07-2018,312,167,1235,63,1901,9108,1118,1999,256,490
23-07-2018,330,187,1466,66,1855,9022,1119,2067,282,536
30-07-2018,339,185,1451,69,1889,8902,1166,2264,284,540
06-08-2018,337,193,1476,68,1902,8865,1193,2197,284,562
13-08-2018,338,206,1523,69,1921,8868,1193,2346,293,565
20-08-2018,336,209,1568,75,1949,9038,1266,2429,290,561
27-08-2018,350,216,1566,75,1983,8971,1230,2473,298,585
03-09-2018,355,204,1502,74,1985,8599,1267,2612,290,603
10-09-2018,349,205,1531,72,1971,8508,1242,2562,287,599
17-09-2018,337,196,1471,67,2007,7930,1206,2537,284,609
24-09-2018,308,160,1483,65,2084,7247,1246,2511,278,566
01-10-2018,272,147,1413,66,2006,6809,1039,2376,258,554
08-10-2018,264,155,1436,71,1830,7187,1116,2432,257,562
15-10-2018,262,151,1361,69,1826,6664,1091,2533,270,541
22-10-2018,271,151,1289,64,1717,6625,1035,2386,262,537
29-10-2018,275,167,1387,69,1830,7037,1065,2405,264,559
05-11-2018,273,172,1399,66,1826,7183,1083,2382,259,558
12-11-2018,306,167,1434,63,1804,7240,1117,2458,258,559
19-11-2018,301,174,1391,62,1733,7309,1093,2589,262,526
26-11-2018,288,175,1419,64,1882,7556,1157,2701,267,516
03-12-2018,279,170,1379,62,1908,7213,1123,2672,256,496
10-12-2018,293,176,1431,63,1903,7557,1102,2572,257,500
17-12-2018,283,184,1424,66,1813,7433,1090,2588,258,507
24-12-2018,291,175,1414,68,1813,7402,1115,2602,263,500
31-12-2018,296,172,1403,67,1795,7135,1089,2580,262,475
07-01-2019,308,179,1394,65,1762,7220,1088,2568,276,462
14-01-2019,286,177,1375,67,1817,7257,1173,2577,272,459
21-01-2019,282,155,1314,63,1841,6424,1235,2652,261,441
28-01-2019,286,163,1352,61,1945,6867,1238,2770,262,463
04-02-2019,288,162,1333,59,1975,7036,1266,2749,257,457
11-02-2019,280,156,1292,58,1945,6835,1233,2544,261,456
18-02-2019,288,167,1322,61,1845,6817,1221,2619,256,490
25-02-2019,282,165,1416,63,1912,6840,1215,2626,260,495
04-03-2019,283,173,1504,64,1938,6872,1255,2595,272,495
11-03-2019,310,194,1491,65,1955,6987,1310,2639,271,502
18-03-2019,304,193,1541,64,1922,6463,1329,2730,278,505
25-03-2019,306,199,1622,72,1918,6581,1351,2759,277,508
01-04-2019,327,198,1620,69,1963,7010,1341,2733,275,535
